,Qtr,StateAbbreviation,Deaths,Cases,UnemploymentRate(%),Personal_Income_Change,GDP_growth_rate,State,Mask,Cases_p,Deaths_p,CFR,CFR_p
138,2020Q1,NV,26,1113,4.6039215686274515,5.8,-4.9,Nevada,"Yes, 06/24/2020",262880,3784,2.3,1.4000000000000001
139,2020Q1,NY,1929,76211,5.073655913978495,3.7,-6.2,New York,"Yes, 04/17/2020",1256228,40753,2.5,3.2
140,2020Q1,OH,55,2199,5.754545454545455,3.6,-5.6,Ohio,"Yes, 07/23/2020",831066,10281,2.5,1.2
141,2020Q1,OK,23,566,3.37965367965368,2.5,-7.3,Oklahoma,"No, nan",356816,2994,4.1000000000000005,0.8
142,2020Q1,OR,18,690,4.823148148148148,4.8,-4.0,Oregon,"Yes, 07/01/2020",133851,1811,2.6,1.4000000000000001
143,2020Q1,PA,72,4997,6.191044776119403,3.0,-5.8,Pennsylvania,"Yes, 07/01/2020",776490,19390,1.4000000000000001,2.5
144,2020Q1,PR,8,239,10.747435897435897,,,Puerto Rico,"No, nan",121554,1703,3.3000000000000003,1.4000000000000001
145,2020Q1,RI,8,488,4.08,5.5,-5.2,Rhode Island,"Yes, 05-08-2020",104443,2005,1.6,1.9
146,2020Q1,SC,22,1083,3.5826086956521737,2.0,-8.2,South Carolina,"No, nan",391464,6248,2.0,1.6
147,2020Q1,SD,1,107,4.159090909090909,3.6,-2.4,South Dakota,"No, nan",105659,1667,0.8999999999999999,1.6
148,2020Q1,TN,13,2049,4.381754385964912,4.8,-3.9,Tennessee,"No, nan",674915,8350,0.6,1.2
149,2020Q1,TX,57,3588,4.291732283464567,2.7,-6.2,Texas,"Yes, 07/03/2020",2138574,32858,1.6,1.5
150,2020Q1,UT,5,887,4.872413793103448,5.0,-3.9,Utah,"Yes, 11/09/2020",324919,1500,0.6,0.5
151,2020Q1,VA,14,1249,3.648370927318296,5.3,-5.0,Virginia,"Yes, 05/26/2020",446550,5739,1.0999999999999999,1.3
152,2020Q1,VI,0,30,,,,Virgin Islands,,2260,24,0.0,1.0999999999999999
153,2020Q1,VT,13,293,3.607142857142857,5.6,-5.8,Vermont,"Yes, 08/01/2020",10220,163,4.3999999999999995,1.6
154,2020Q1,WA,226,5293,6.075213675213675,4.6,-2.6,Washington,"Yes, 06/26/2020",293739,3974,4.3,1.4000000000000001
155,2020Q1,WI,25,1351,4.753703703703703,1.7,-8.8,Wisconsin,"Yes, 08/01/2020",569335,5930,1.9,1.0
156,2020Q1,WV,1,162,7.1042424242424245,4.5,-6.7,West Virginia,"Yes, 06/06/2020",109809,1784,0.6,1.6
157,2020Q1,WY,0,121,4.301449275362319,1.6,-10.5,Wyoming,"No, nan",49708,522,0.0,1.0999999999999999
158,2020Q2,AK,12,1132,13.98505747126437,31.6,-33.8,Alaska,"No, nan",51785,220,1.0999999999999999,0.4
159,2020Q2,AL,950,38045,10.414925373134329,41.1,-29.6,Alabama,"Yes, 07/16/2020",424028,6121,2.5,1.4000000000000001
